railwayName,railway,directionName,direction,ab,lr
銀座,odpt.Railway:TokyoMetro.Ginza,渋谷,odpt.RailDirection:TokyoMetro.Shibuya,A,l
銀座,odpt.Railway:TokyoMetro.Ginza,浅草,odpt.RailDirection:TokyoMetro.Asakusa,B,r
丸ノ内,odpt.Railway:TokyoMetro.MarunouchiBranch,中野坂上,odpt.RailDirection:TokyoMetro.NakanoSakaue,B,r
丸ノ内,odpt.Railway:TokyoMetro.MarunouchiBranch,方南町,odpt.RailDirection:TokyoMetro.Honancho,A,l
丸ノ内,odpt.Railway:TokyoMetro.Marunouchi,中野坂上,odpt.RailDirection:TokyoMetro.NakanoSakaue,B,r
丸ノ内,odpt.Railway:TokyoMetro.Marunouchi,方南町,odpt.RailDirection:TokyoMetro.Honancho,A,l
丸ノ内,odpt.Railway:TokyoMetro.Marunouchi,池袋,odpt.RailDirection:TokyoMetro.Ikebukuro,B,r
丸ノ内,odpt.Railway:TokyoMetro.Marunouchi,荻窪,odpt.RailDirection:TokyoMetro.Ogikubo,A,l
日比谷,odpt.Railway:TokyoMetro.Hibiya,北千住,odpt.RailDirection:TokyoMetro.KitaSenju,B,l
日比谷,odpt.Railway:TokyoMetro.Hibiya,中目黒,odpt.RailDirection:TokyoMetro.NakaMeguro,A,r
東西,odpt.Railway:TokyoMetro.Tozai,中野,odpt.RailDirection:TokyoMetro.Nakano,B,r
東西,odpt.Railway:TokyoMetro.Tozai,西船橋,odpt.RailDirection:TokyoMetro.NishiFunabashi,A,l
千代田,odpt.Railway:TokyoMetro.Chiyoda,綾瀬,odpt.RailDirection:TokyoMetro.Ayase,B,r
千代田,odpt.Railway:TokyoMetro.Chiyoda,代々木上原,odpt.RailDirection:TokyoMetro.YoyogiUehara,A,l
千代田,odpt.Railway:TokyoMetro.Chiyoda,北綾瀬,odpt.RailDirection:TokyoMetro.KitaAyase,B,r
千代田,odpt.Railway:TokyoMetro.Chiyoda,綾瀬,odpt.RailDirection:TokyoMetro.Ayase,A,l
有楽町,odpt.Railway:TokyoMetro.Yurakucho,和光市,odpt.RailDirection:TokyoMetro.Wakoshi,B,l
有楽町,odpt.Railway:TokyoMetro.Yurakucho,新木場,odpt.RailDirection:TokyoMetro.ShinKiba,A,r
半蔵門,odpt.Railway:TokyoMetro.Hanzomon,渋谷,odpt.RailDirection:TokyoMetro.Shibuya,B,r
半蔵門,odpt.Railway:TokyoMetro.Hanzomon,目黒,odpt.RailDirection:TokyoMetro.Oshiage,A,l
南北,odpt.Railway:TokyoMetro.Namboku,目黒,odpt.RailDirection:TokyoMetro.Meguro,B,r
南北,odpt.Railway:TokyoMetro.Namboku,赤羽岩淵,odpt.RailDirection:TokyoMetro.AkabaneIwabuchi,A,l
副都心,odpt.Railway:TokyoMetro.Fukutoshin,和光市,odpt.RailDirection:TokyoMetro.Wakoshi,B,l
副都心,odpt.Railway:TokyoMetro.Fukutoshin,渋谷,odpt.RailDirection:TokyoMetro.Shibuya,A,r
